A									
addicted to excitement (adj) – see also A: addiction to excitement, I: inner drugs	Habitually and instinctively using the emotions of fear and excitement to feel alive, connected to reality, and/or distracted from pain. For adult children, the unsafe nature of the dysfunctional home meant we were getting regular doses of the fight-or-flight hormone, adrenaline. This became what we believed was our natural state. As adults we then habitually seek, often unconsciously, further adrenaline surges. We do this by creating drama and chaos in our lives or engaging in dangerous behavior. Excitement and fear can also feel comforting, simply because they are very familiar to us from our dysfunctional family.				drama-seeking, adrenaline-chasing		For some adult children, addiction to excitement means needing to be involved in extreme sports or other dangerous activities. For others it can mean being attracted to general drama and chaos in daily life.		"BRB pp 16, 56, 136, 458 
YWB p. 48
SMR p. 211 
LLWB pp. 76, 165-166
LPG p. 226
ANH p. 68"
"addiction (n) – see also 
S: secondary addictions"	A state of being where a person compulsively seeks relief from their pain and stress through alcohol, drugs, food, gambling and/or other substances or behaviors. Addictions are difficult to stop, even when they cause negative consequences in a person’s life, because the person has become physically and/or psychologically dependent on the substance or behavior. 				dependence		With the support of the ACA program, I am learning to sit with my painful feelings and ask for support, instead of immediately using my TV and internet-scrolling addictions to numb out.  		"BRB pp. 4, 31 
YWB pp. 1, 8, 47
SMR pp. 15, 26, 90
LLWB pp. 22, 32, 142. 155
LPG pp. 64, 70, 184
ANH pp. 12, 66"
addiction to excitement (n) – see also A: addicted to excitement, I: inner drugs	The state of habitually and instinctively using excitement and fear to feel alive, connected to reality, and/or distracted from pain. This regular return to a heightened emotional state, and the subsequent surges of adrenaline in the body, started in childhood as a natural response to the unsafe environment of the dysfunctional home. As adults, we unconsciously seek to repeat this familiar cycle.				adrenaline addiction		My addiction to excitement really played out in my marriage. To avoid feeling bored or numb, I regularly started fights with my wife, and even cheated on her with other women. 		"BRB p. 16
YWB p. 164
SMR pp. 200, 295
LLWB p. 166
LPG pp. 65, 184"
addictiveness (n, uncommon)	An inclination or instinct where the adult child compulsively seeks relief from their pain through alcohol, drugs, food, sex, work, and/or other substances and compulsive behaviors.				addictive personality		Because of my adult child addictiveness, when I quit smoking last year, I quickly replaced it with eating a lot of sugary things and shopping for things I don’t need.		"BRB pp. 60, 65
YWB pp. 24, 88, 118
SMR p. 32
LLWB p. 160"
address (v)	Think about or explore a particular theme or topic.				deal with, confront		The Big Red Book addresses many different aspects of recovery for adult children.		"BRB p. 22
YWB pp. 1, 10, 25
SMR pp. 86, 321
LLWB pp. 56, 112, 166
LPG pp. 18, 26, 63
ANH pp. 6, 18, 32"
adult child/Adult Child (n) - see also A: adult child of an alcoholic/dysfunctional family	"An adult who grew up in 
alcoholic/dysfunctional home and exhibits identifiable traits that reveal past abuse and neglect (the Laundry List traits). Adult child is the shortened name for ‘adult child of an alcoholic/dysfunctional family’. The standard way to write this phrase is adult child, without capital letters. This is how it appears in most ACA literature. However, ACA founder Tony A. used the capitalized version in his writings."				someone raised in an alcoholic/dysfunctional family who still exhibits the characteristics of family dysfunction		Now that I am in recovery, I can often recognize another adult child, for example at work, when I see them acting out various Laundry List traits.		"BRB pp. vii, xii, 3, 94
YWB pp. iii, 3-6
SMR pp. 45, 322
LLWB pp. 162, 164-165
LPG pp. 29, 39, 64, 110
ANH p. 12"
Adult Children of Alcoholics (n) – see also A: ACA, ACA fellowship	A support group of people who share the experience of growing up in an alcoholic/dysfunctional family and/or identifying with the Laundry List traits. Members have the common goal of seeking a healthier way of living by focusing on the family system and reparenting the inner child. At the time of writing this in 2024, ACA is considering changing their name officially to Adult Children of Alcoholics & Dysfunctional Families, in order to be more inclusive.				support group for people who grew up in a dysfunctional family/situation		The 12 Step group Adult Children of Alcoholics welcomes any person who identifies with the Laundry List traits and seeks a better way of living. 		"BRB pp. xii, 8, 53
YWB pp. 1, 21, 
SMR p. 145
LLWB p. iv
LPG p. 233 
ANH pp. 3, 78"
adult child of an alcoholic 	An adult who grew up in an alcoholic home and exhibits identifiable traits that reveal past abuse and neglect (the Laundry List traits).				someone raised in an alcoholic family who still exhibits the characteristics of family dysfunction		Both my parents were alcoholics, and after recognizing my own behavior in the Laundry List traits, I began identifying myself as an adult child of an alcoholic.		"BRB pp. 466, 557
LLWB p. 160
ANH p. 70"
adulthood	The state or condition of being physically fully grown and intellectually mature. The period of life when you are an adult, commonly understood to begin around the age of 21.				period of life in which you are an adult		I carried the fear and shame from my abusive childhood with me into adulthood, when I passed it on to my own children.		"BRB pp. xxviii, 22, 38
YWB pp. 6, 67, 97
SMR pp. 108, 220
LLWB pp. 15, 36
LPG pp. 34, 39, 139
ANH pp. 12, 34"
affirmation (n)	"1. Emotional support and encouragement, recognition of your inherent worth
2. Positive sentence, statement we say to ourselves that provides emotional support and encouragement."				"1.validation
2. positive statement"		"1. Children need love and regular affirmation from their parents that they are worthy just as they are. 
2. Affirmations are used to replace the negative messages we received from our dysfunctional families. “It is ok to make mistakes and learn.” is an example of one of the common affirmations in ACA."		"1. BRB pp. 187
    YWB pp. 6, 47
    SMR p. 346
   LPG pp. 82, 188  
2. BRB pp. 302, 328-30
    YWB p. 42
    SMR pp. 164, 228, 273
    LLWB p. 47
   LPG pp. 7, 23, 24, 147 
    ANH p. 26"
afraid of people and authority figures (adj) – see also A: authority figures	A typical trait of the adult child is to fear interactions and relationships with other people, especially authority figures, because our dysfunctional family taught us that people are not safe or trustworthy.				social unease/ apprehension - generally, and with people who you perceive to have some power over you		Because many adult children are afraid of people and authority figures, we may try to stay safe by isolating, avoiding close relationships and interacting with our bosses or other authority figures.		"BRB pp. 10-11
YWB p. 152
SMR p. 13
LLWB p. 162
LPG p. 174
ANH p. 68"
amends (n) - see also L: living amends	An apology and a commitment to correct the past harmful behavior.				apology and associated change in behavior		When a fellow traveler pointed out that I was consistently late to our ACA meeting, I made amends to the group by apologizing and saying I would take steps to arrive on time in the future.		"BRB pp. 114, 241
YWB pp. 15-16, 125, 137
SMR pp. 122, 224, 256
LLWB p. 99
LPG pp. 5, 26, 155
ANH p. 32"
anger	An intense emotion of displeasure as a response to perceived provocation, threat, hurt, or injustice. Anger is a normal, natural, human emotion and has value and purpose when expressed appropriately. 				indignation		"I wasn’t allowed to be angry as a child. Only my parents were allowed to be angry and used anger to frighten us children. In recovery I am learning to have healthy, controlled anger
as a normal response to hurtful or unjust actions."		"BRB pp. 11, 24, 29
YWB pp. 26, 71, 77
SMR pp. 92, 143, 230
ANH pp. 38, 50"
Annual Business Conference/ABC (n)	A yearly ACA WSO meeting of delegates from the different groups, intergroups, and regions. During the meeting, the delegates vote on large matters of finance and policy, hear reports, and ratify WSO board trustees. 				formal gathering to address the business of ACA		At the ABC 2022, a motion was approved to study changing the name of ACA to Adult Children of Alcoholics and Dysfunctional Families.		"BRB pp. viii, 63, 81
YWB p. viii
SMR p. vi
LPG p. iv"
approval (n) 	"1. The belief that someone or something is good
2. Official decision to accept a proposal"				"1. acceptance, validation
2. acceptance, go-ahead (informal)"		"1. Adult children often seek constant approval from others, because they did not get it as children from their parents. 
2. I got the boss’s approval to take a week of vacation."		"1. BRB pp. 1, 37-38, 72
    YWB pp. 71, 153, 158
   SMR pp. 35, 39, 44
   LLWB pp. 14, 163
   LPG pp. 26, 63, 78
    ANH pp. 44, 60
2. BRB p. 619
    SMR p. vi
   LPG pp. i, iv"
ashamed (adj)	Feeling deep humiliation about something you have done or who you are.				deeply humiliated, mortified		I felt so ashamed when I made a mistake at work that I felt physically sick and I wanted to disappear.		"BRB pp. 162, 441
YWB pp. 7, 74, 77
SMR pp. 57, 183, 267
LPG pp. 24, 108, 191"
attachment (n)	A strong connection to someone or something.				connection		ACA teaches us how to have healthy attachments to the people in our lives. 		"BRB pp. 51, 89, 127
ANH p. 8"
authority figure (n)	A person who has a degree of power over others, to give orders or make decisions. 				a person who has a degree of power over others 		Employers, police officers, religious leaders, and older family members are typical examples of authority figures that frighten me. My parents were the original authority figures in my life.		"BRB pp. 11, 154
YWB pp. 73, 80, 122
SMR pp. 13, 42, 78
LLWB pp. 2-8, 161 
LPG pp. 48, 50, 82-83, 144
ANH pp. 10, 34"
awareness (n)	Conscious understanding of a situation. The opposite of denial.				understanding, realization		By attending ACA meetings and reading the literature, I gained an awareness of my dysfunctional childhood.		"BRB pp. 66, 82, 96
YWB p. 4
SMR pp. 5, 80, 139
LLWB pp. 143, 175
LPG pp. 2, 19, 29
ANH pp. 16, 56"
B									
be burned up inside (v, idiom)	Feel very angry or jealous.				be overcome with anger or jealousy		I was burned up inside when my friend got the job I wanted.		"BRB p. 217
YWB p. 124"
be in denial (v) – see also D: denial	Be unaware, unconscious of a situation that is often obvious to others around you. Being in denial is often a defense mechanism against an uncomfortable or painful truth.				be unaware, refuse to accept		It is common for an alcoholic to be in denial about their alcohol addiction. They believe they are fine and do not have a serious problem.		"BRB pp. 92, 175, 454
YWB pp. 1, 15, 92
SMR p. 127, 168
LPG p. 25"
bear the brunt (v, idiom)	Receive the main force of something damaging or destructive.				receive the full impact, to be on the front line (idiom)		As the youngest child and the only one still living at home when my mother’s drinking got worse, I used to bear the brunt of her abuse.		"BRB p. 245
YWB p. 143
LLWB p. 53"
become your own loving parent (v) see also L: loving parent, R: reparenting	Taking the responsibility for meeting your own physical, emotional, and spiritual needs, instead of expecting other people to do it. It is a process of learning, one day at a time, to speak to yourself with gentleness, humor, love, and respect, and be the loving parent you did not have in childhood.				reparent		I am learning to become my own loving parent by validating all the feelings I have and comforting myself with kind words when I am sad or hurt.		"BRB pp. 298-299, 337
SMR p. 194
LPG p. 1-2, 8, 88
ANH p. 18"
bias (n)	A belief that a particular idea, person, or thing is the best option.				inclination		I have a bias in favor of dogs. My husband, however, thinks cats are the best pets.		"BRB p. xvii
SMR p. 93, 245"
black sheep (n, idiom)	The member of the family who is different to other family members, who does not fit in with the family.				odd one out (idiom)		In a family of doctors, I was considered the black sheep for choosing to study music.		"BRB p. 134
YWB pp. 37, 47"
blameless inventory (n)	The work done in ACA Step Four. This involves writing lists of your parents’ traits and behavior during your childhood, as well as your own adult traits and behaviors. Each of these lists is made without blame, because of the generational nature of dysfunction and trauma, but with thorough honesty and accountability for all. 				detached assessment 		My Step 4 blameless inventory included a list of the abuse and neglect from my childhood, but also an account of my adult child behavior and traits. 		"BRB pp. xvi, 157
YWB p. 74
SMR p. 70
LPG p. 220"
bleeding deacon (n, idiom)	A term, originally from Alcoholics Anonymous, which means an ACA servant who consistently exhibits controlling behavior in the group. They believe that their way is the only right way in all matters concerning ACA. The opposite of this type is an elder statesman (see E: elder statesmen).				a self-appointed ACA authority figure		The bleeding deacon in our group was unwilling to accept other people’s opinions in the business meetings.		BRB p. 501
blindsided (adj)	Be surprised by something unpleasant and unexpected.				shocked by something you didn’t expect, caught off guard (idiom)		I was blindsided by the news that the company where I work is bankrupt. 		"SMR p. 17
LPG p. 48"
blind spot (n) 	An aspect of someone's thinking or behavior that they seem unable to see, acknowledge, or understand.				denial, block 		I had a blind spot that I regularly talked too much and interrupted people. I was very surprised when someone told me.		LPG p. 11
bludgeon myself (v, idiom)	Verbally shame or berate myself.				shame myself, beat myself up (idiomatic use)		Before ACA recovery, I used to bludgeon myself whenever I made a mistake.		"BRB p. 152
YWB p. 71"
boggles the mind (v, idiom)	Be very difficult to understand or imagine				baffles, is difficult to understand		My brother is really good with numbers, but complicated mathematics just boggles my mind. I’m better at languages.		BRB p. 24
brow-beaten (adj, idiom)	Someone who has been forced with violence or threats into doing something, forced into submission.				intimidated, bullied, coerced		The brow-beaten employee works extra hours without complaining, because their boss regularly threatens them with losing their job.		"BRB p. 269
YWB p. 166
LLWB"
C									
caregiver(s) (n)	The person or people who raise and care for a child. 				caretaker, guardian		My grandparents were my main caregivers, because my parents were alcoholics and unable to take care of me and my siblings properly.		"BRB pp. 36, 60
YWB pp. 11-12 
SMR pp. 
LLWB pp. 52, 86, 120
LPG pp. iv, 24, 31
ANH pp. 8, 10, 15"
challenge zone (n)	A mindset in which we feel safe enough to challenge our limiting beliefs, try new things, and take healthy risks. The challenge zone is where much of the growth of ACA recovery takes place.				mindset of embracing change and taking healthy risks		I felt really uncomfortable saying affirmations to myself in the mirror, but I was in the challenge zone and did it anyway, because I trust that the ACA program will help me.		LPG p. 4, 40
"character defect (n) – see also 
D: defects of character"	An aspect of our character or a habitual behavior that is problematic and/or harmful to ourselves or other people.				shortcoming, trait out of balance		A common adult child character defect is being judgmental of themselves and others.		"BRB pp. 48
YWB pp. 13-14
SMR pp. 17, 150, 161, 224"
chemically addicted (adj)	Physically dependent on a substance. The difference between this term and addiction is that a person who is chemically addicted may not be using the substance compulsively, for example a cancer patient who only takes pain medication to relieve physical pain. Nevertheless, over time their body becomes addicted to the substance.				physically dependent on a substance		Many adult children grew up in homes where one or more parent was an alcoholic or chemically addicted.		BRB p. 23
child within (n) – see also I: inner child 	A person’s younger self, often hidden in the subconscious mind. It is the playful, creative, and spontaneous part of our personalities. For adult children, however, the child within also carries the unhealed fear, grief, and anger from growing up in a dysfunctional family.				inner child		When I came into ACA, my child within was in hiding from all the past trauma. However, as I progressed in recovery, I began to connect with this younger part of me.		"BRB pp. xxviii, 150, 296
YWB p. 70
SMR pp. 262, 341, 388
LLWB p. 12
LPG pp. 76, 80
ANH pp. 20, 22, 24"
"childhood neglect (n) - see also 
N: neglect for further references in the literature "	A form of child abuse, where the caregivers consistently fail to meet the physical and/or emotional needs of a child. These needs include food, shelter, clothing, medical care, adequate supervision, education, socialization, nurturing, and affection. Childhood neglect can have lasting negative cognitive, emotional, and physical effects on the child.  				childhood abandonment		Physical neglect can be easier to identify, for example if a parent does not give their child enough food to eat or appropriate clothes to wear. Emotional neglect, for example the lack of enough praise, support, or love, is often harder to see.		"BRB p. 31 
SMR p. 152"
"childhood trauma (n) – see also 
T: trauma for further references in the literature"	An event or events that a child experiences as frightening, painful, and/or violent. The phrase childhood trauma can also refer to the negative effects these experiences can have on a child. Examples of childhood trauma include: emotional, physical, and sexual abuse, childhood neglect, and bullying. Witnessing violence against others can also cause childhood trauma, as can war, racism, poverty, and systemic oppression. Trauma experienced in childhood is especially damaging, because it can seriously affect a child’s normal mental, emotional and physical development. Without appropriate treatment, the effects of trauma persist into adulthood, and in fact worsen over time. 				adverse childhood experiences which have lasting damaging effects on a child’s development and mental and physical health		Many adult children struggle to believe that they experienced childhood trauma, but it can also be caused by neglect and verbal abuse, which do not necessarily leave physical marks.		"BRB pp. xxvii, 17, 451
YWB p. 26
SMR pp. 26, 134, 193
LLWB pp. 87, 166
LPG pp. 10, 219
ANH pp. 10, 28, 38"
claim (n)	"1. Rightful ownership of something. 
2. Something that is said, suggested to be true. "				"1. entitlement, right
2. statement, belief"		"1. When I introduce myself in an ACA meeting with the words “I belong here.”, I am saying I have a claim to a place in the fellowship. 
2. I no longer believe my inner critic’s claims that I am unworthy and stupid."		"1. BRB p. xx
    YWB p. 3, 75
    SMR
2. BRB pp. 97, 106, 137
    YWB p. 118
    SMR
    LPG p. 57"
claim (v) 	"1. Say something belongs to you.
2. Say something is true, especially when you have no proof or others may not believe you.
3. Make a false show of something you know is not true. "				"1. take ownership of
2. declare, profess
3. pretend"		"1. I claimed the biggest piece of cake at my birthday party.
2. My alcoholic father often claimed he didn’t have a problem – and he really believed that.
3. As an adult child, I sometimes claim I am ok with something, when the truth is I don’t want to do it."		"1. BRB pp. 94, 154
    YWB pp. 82, 102
    SMR pp. 73, 93
    LLWB p. 15
2. BRB p. 71
    YWB p. 4, 10
    SMR p. 286
    LLWB p. 133
3. BRB p. 433
    SMR "
clarity (n)	The quality of being easy to understand, see, or hear.				clearness, transparency		Reading The Laundry List gave me clarity on the specific things in my life I was struggling with, and therefore what I could improve.		"BRB pp. 89, 96, 108
YWB pp. 1, 12, 23
SMR pp. 69, 209, 215, 263
LLWB pp. 87, 165
LPG pp. 2, 50, 10 
ANH p. 40"
clear/clean the wreckage of the past (v, idiom)	This phrase is associated with Step Nine. It means to identify and accept the harm we have caused ourselves and others, and then to make amends for it by apologizing and changing our behavior.				to repair the damage of the past		To clear the wreckage of the past, I first apologized to each of my family, friends, and coworkers for my past hurtful behavior. The second part of this is consistently working my ACA program so I can change that harmful behavior. 		BRB pp. 235, 243-244
"codependence (n, uncommon) – see also 
C: codependency"	Codependence is a type of addiction when a person prioritizes the needs and wants of others over their own. It involves looking outside of yourself for love, attention, and affirmation, often from people who cannot give it to you. Codependence is an uncommon variation of the standard word, codependency.				para-alcoholism, making another person your higher power		I recognized the codependence in my life when I saw I was always hiding my true feelings and opinions from my friend, just so she would feel more comfortable and not leave the relationship.		"BRB pp. 6-7, 20, 40-41
YWB pp. 6, 52
SMR p. 216
LLWB p. 161
ANH p. 10"
codependent (adj, n)	A person who prioritizes the needs and wants of others instead of their own, making that person their higher power. The word codependent is used both as an adjective and a noun in the ACA literature.				 para-alcoholic		A codependent spouse is completely focused on what their husband/wife feels and does, instead of their own feelings and needs. My mother was the codependent in her relationship with my alcoholic father.		"BRB pp. 6-7, 14, 457
YWB pp. 6, 50
SMR pp. 70, 81, 229
LLWB pp. 164-165
LPG pp. 196, 219
ANH pp. 20, 48"
"codependency (n) - see also 
C: codependence"	The type of addiction when a person prioritizes the needs and wants of others over their own. It involves looking outside of yourself for love, attention, and affirmation, often from people who cannot give it to you.				 para-alcoholism		Before recovery, I lived in a state of codependency, in romantic relationships with alcoholics or addicts of some type. I focused my life completely on trying to save them, and ignored my own needs and feelings.  		"BRB p. 357
YWB p. 50 
SMR p. 121
LPG pp. iv, 108
ANH p. 32"
"common behaviors (n) – see also 
D: defense traits, L: Laundry List, S: survival traits"	Another name for The Laundry List traits. The 14 characteristics that are the identifying traits for an adult child.				 The Laundry List traits, survival traits, defense traits		The common behaviors I identify with most are 3.” We are frightened by angry people and any personal criticism” and 11. “We judge ourselves harshly and have a very low sense of self-esteem.”		"BRB pp. 111, 154
YWB pp. 13-14
SMR p. 3
LLWB p. 160"
comfort zone (n)	The mindset where we seek comfort in the familiar, instead of being willing to challenge limiting beliefs and try new things. Staying only in the comfort zone inhibits growth in recovery.				old, familiar mindset, old, comfortable way of doing things		Before recovery, my comfort zone was isolation and people-pleasing. In ACA, I am challenging myself to interact with others while being my authentic self.		LPG pp. 4, 182, 228
compost (v)	Collect organic waste materials like plant matter, paper, and manure in a container or pile, and allow them to decompose. The end result is a nutrient-rich soil amendment for the garden.				create a soil amendment from organic waste materials		I decided to compost my inner teen’s angry letters, as a way of turning that anger into something positive that helps plants grow.		LPG pp. 198, 202
composting (n)	The act of collecting organic waste materials like plant matter, paper, and manure in a container or pile, and allowing it to decompose. The end result is a nutrient-rich soil amendment for the garden.				creating soil amendment from certain biodegradable waste materials		Since we started doing composting, we throw away less in the regular trash. Fruit and vegetable peels, leaves, grass cuttings, and paper now go in our compost bin.		LPG p. 182
compulsivity (n) – see also S: sexual compulsivity	A state where a person habitually engages in repeated behavior(s) in order to reduce their feelings of emotional pain, stress, or anxiety.				obsessiveness, addiction		Many adult children have struggled with sexual compulsivity, but have felt unable to stop, even if it is harming them and their marriage or relationship.		"BRB p. 247
YWB p. 145
SMR p. 102"
coping (adj)	Helping to manage or survive a difficult situation.				survival 		Unhealthy coping mechanisms are isolating, lashing out at others, and using drugs or alcohol. Healthy coping skills include talking about your feelings with a trusted fellow traveler or journaling about them.		"SMR pp. 142, 161, 184
LPG pp. 12, 110"
counseling (n)	"Conversations with a qualified mental health specialist. 
 "				"therapy *
*Counseling and therapy are technically different terms. Counseling tends to focus on specific emotions or problems, rather than complex mental health issues, and happens over a shorter time period. However, the terms are sometimes used interchangeably in the ACA literature."		Many adult children find individual counseling an additional recovery resource, in addition to going to ACA meetings and working the Steps.		"BRB pp. 39, 151, 181
YWB pp. 25, 114, 166
SMR p. 375"
counselor (n)	A qualified mental health professional.				"therapist *
*Counselor and therapist are technically different terms. A counselor tends to focus on specific emotions or problems, rather than complex mental health issues, and works with you over shorter time period. However, the terms are sometimes used interchangeably in the ACA literature."		It is important to find a counselor who is knowledgeable about ACA and the issues of the adult child.		"BRB pp. 150, 227
YWB pp. 20, 25
SMR pp. 149, 288, 375
LLWB p. 166
LPG pp. 1, 160
ANH p. 44"
cowed (adj)	Frightened by the threats or violence from another person.				overpowered, intimidated		As a child, I was cowed into silence by the shouting and violent acts of my alcoholic father.		"BRB p. 269
YWB p. 166"
crave (v)	Feel a powerful desire for something.				desire, want		Pregnant women are often said to crave strange foods combinations like pickles with ice cream.		"BRB p. 382
SMR pp. 183, 211, 209
LLWB p. 79"
craving (n)	A strong, often uncontrollable desire for something.				desire, urge		I often have a craving for sugar and junk food when I am sad, because they temporarily numb my pain.		"BRB p. 224
YWB p. 129
SMR p. 209"
