English,Estonian,Source,Domain,Definition_Short,Link
additional screening method for breast cancer,rinnavähi sõeluuringu lisauuring,eki_TAI,health,"rinnavähi sõeluuringu esmasuuringu ehk mammograafia leiu täpsustamiseks tehtav ultraheliuuring, MRT uuring, tomograafiline või histoloogiline uuring",https://sonaveeb.ee/search/unif/dlall/TAI/additional%20screening%20method%20for%20breast%20cancer
additional screening method for colorectal cancer,jämesoolevähi sõeluuringu lisauuring,eki_TAI,health,"jämesoolevähi sõeluuringu esmasuuringu ehk peitveretesti leiu täpsustamiseks tehtav sõelkoloskoopia, kus uuritakse kaebusteta inimese jämesoolt kogu u...",https://sonaveeb.ee/search/unif/dlall/TAI/additional%20screening%20method%20for%20colorectal%20cancer
additional screening methor for cervical cancer,emakakaelavähi sõeluuringu lisauuring,eki_TAI,health,emakakaelavähi sõeluuringu esmasuuringu ehk HPV uuringu leiu täpsustamiseks tehtav LBC uuring või kolposkoopia,https://sonaveeb.ee/search/unif/dlall/TAI/additional%20screening%20methor%20for%20cervical%20cancer
adopting,(no ET term),eki_TAI,health,"õigustoiming, mille tulemusel tekivad lapsendaja ja lapsendatu vahel samasugused õigused ja kohustused nagu vanema ja lapse vahel, üks asendushoolduse...",https://sonaveeb.ee/search/unif/dlall/TAI/adopting
adoption,lapsendamine,eki_TAI,health,võõra lapse oma seaduslikuks lapseks võtmine,https://sonaveeb.ee/search/unif/dlall/TAI/adoption
affect,afekt,eki_dkt,psychology/therapy,"väga tugev lühiajaline emotsionaalne reaktsioon, tormiline tundepuhang (nt raev, vaimustus, meeleheide)",https://sonaveeb.ee/search/unif/dlall/dkt/affect
affect bridge,afektisild,eki_skt,psychology/therapy,"terapeutiline tehnika, millega käesoleval hetkel esinevaid emotsioone kasutatakse „sillana“, et jõuda mälestusteni varajastest kogemustest lapsepõlves...",https://sonaveeb.ee/search/unif/dlall/skt/affect%20bridge
age group,vanuserühm,eki_TAI,health,"vanuse järgi eristatud inimeste vm asjaosaliste hulk (nt võistlustel, millegi ülevaates)",https://sonaveeb.ee/search/unif/dlall/TAI/age%20group
age of fertility,(no ET term),eki_TAI,health,"iga, mil ollakse võimeline viljastuma ja järglasi saama (statistikas kokkuleppeliselt naised vanuses 15-49 a)",https://sonaveeb.ee/search/unif/dlall/TAI/age%20of%20fertility
age-specific birth rate,(no ET term),eki_TAI,health,aasta jooksul elusalt sündinud laste arv mingis vanusrühmas naiste aastakeskmise arvu kohta,https://sonaveeb.ee/search/unif/dlall/TAI/age-specific%20birth%20rate
age-specific incidence rate,haigestumuse vanuskordaja,eki_TAI,health,teatud vanuses inimeste esmashaigusjuhtude arv sama vanuserühma aastakeskmise inimeste arvu kohta,https://sonaveeb.ee/search/unif/dlall/TAI/age-specific%20incidence%20rate
age-specific induced abortion rate,abortiivsuse vanuskordaja,eki_TAI,health,teatud vanuses naiste raseduste katkestamiste arv sama vanuserühma aastakeskmise naiste arvu kohta,https://sonaveeb.ee/search/unif/dlall/TAI/age-specific%20induced%20abortion%20rate
age-specific mortality rate,suremuse vanuskordaja,eki_TAI,health,Surmajuhtude arv 1000 või 100 000 sama vanuserühma aastakeskmise elaniku kohta. (6),https://sonaveeb.ee/search/unif/dlall/TAI/age-specific%20mortality%20rate
age-specific rate,vanuskordaja,eki_TAI,health,sündmuse esinemist iseloomustav näitaja määratud vanuserühmas sama vanuserühma aastakeskmise rahvastiku kohta teatud ajavahemikul,https://sonaveeb.ee/search/unif/dlall/TAI/age-specific%20rate
agency,(no ET term),eki_TAI,health,"ministeeriumist madalama staatusega, mingi ala haldamist juhtiv riigiasutus",https://sonaveeb.ee/search/unif/dlall/TAI/agency
alcohol,alkohol,eki_TAI,health,"joovastava toimega jook (nt vein, õlu, viin), mille kangus tuleneb joogis sisalduvast etanooli hulgast",https://sonaveeb.ee/search/unif/dlall/TAI/alcohol
alcohol use disorder,alkoholitarvitamise häire,eki_TAI,health,"mõiste, mille alla kuuluvad alkoholi kuritarvitamine ja alkoholisõltuvus",https://sonaveeb.ee/search/unif/dlall/TAI/alcohol%20use%20disorder
alienation,võõrandumine,eki_skt,psychology/therapy,"Seisund, kus kesksed protsessid või normid muutuvad osalistele “võõraks” ning mille tõttu toimub ühiskonnast väljasotsialiseerumine. Selle tulemusel k...",https://sonaveeb.ee/search/unif/dlall/skt/alienation
alternate rebellion,alternatiivne mässumeelsus,eki_dkt,psychology/therapy,"dialektilise käitumisteraapia oskus, kus leitakse teistsugune mässumeelne kuid mittehävituslik käitumine, mis asendab sõltuvuskäitumise",https://sonaveeb.ee/search/unif/dlall/dkt/alternate%20rebellion
alternative care,(no ET term),eki_TAI,health,"sotsiaalhoolekande valdkond, kus tegeldakse lapse eest hoolitsemisega väljaspool tema sünniperekonda. Asendushoolduse vormid on lapsendamine, eestkost...",https://sonaveeb.ee/search/unif/dlall/TAI/alternative%20care
alternative care service,asendushooldusteenus,eki_TAI,health,"lapse heaolu ja õiguste tagamine, lapsele tema põhivajaduste rahuldamiseks peresarnaste elutingimuste võimaldamine, lapsele turvalise ja arenguks sood...",https://sonaveeb.ee/search/unif/dlall/TAI/alternative%20care%20service
amenable death,raviga välditav surmajuht,eki_TAI,health,"surmajuht, mida saaks vältida teisese ennetuse meetmete (st pärast haiguse algust) ja raviga",https://sonaveeb.ee/search/unif/dlall/TAI/amenable%20death
amino acids,aminohapped,eki_TAI,health,"aminorühma sisaldavad orgaanilised happed, mis kuuluvad valkude koostisse ning jagunevad asendamatuteks (inimorganism neid ei sünteesi ja peab saama t...",https://sonaveeb.ee/search/unif/dlall/TAI/amino%20acids
angry child mode,vihase lapse olek,eki_skt,psychology/therapy,"lapse olek, milles tuntakse ja väljendatakse viha või raevu vastusena baasiliste emotsionaalsete vajaduste (tajutud) rahuldamata jätmisele ühe või mit...",https://sonaveeb.ee/search/unif/dlall/skt/angry%20child%20mode
antenatal,(no ET term),eki_TAI,health,"sünnieelne, enne sünnituse algust juhtuv, nt antenataalne surm, antenataalne surnultsünd; võrdle intranataalne",https://sonaveeb.ee/search/unif/dlall/TAI/antenatal
antioxidants,(no ET term),eki_TAI,health,"peamiselt taimses toidus leiduvad bioaktiivsed ühendid (sh ka mõned mikroelemendid ja vitamiinid), mille üks ülesanne inimorganismis on hoida reaktiiv...",https://sonaveeb.ee/search/unif/dlall/TAI/antioxidants
Apgar score,Apgari indeks,eki_TAI,health,"ka Apgari hinne, hinnang vastsündinu tervislikule seisundile 10-pallisel skaalal arvestades südame löögisagedust, hingamist, lihaspinget, erutuvust ja...",https://sonaveeb.ee/search/unif/dlall/TAI/Apgar%20score
approval seeking,heakskiidu otsimine,eki_skt,psychology/therapy,"eeldus, et teiste tunnustuse, heakskiidu ja tähelepanu otsimine ning sobitumine on oluline iseolemise arvelt, excessive emphasis on gaining approval, ...",https://sonaveeb.ee/search/unif/dlall/skt/approval%20seeking
artificial abortion,indutseeritud abort,eki_TAI,health,vähem kui 12 nädalat kestnud raseduse katkestamine naise omal soovil või kauem kui 12 ja vähem kui 22 nädalat kestnud raseduse katkestamine naise või ...,https://sonaveeb.ee/search/unif/dlall/TAI/artificial%20abortion
assistance,(no ET term),eki_TAI,health,"aitamine, abistamine, see, mis või kes aitab",https://sonaveeb.ee/search/unif/dlall/TAI/assistance
assistive product,(no ET term),eki_TAI,health,"toode, mis aitab parandada inimese funktsioneerimisvõimet, kompenseerida funktsioonihäiret ja saavutada või säilitada igapäevaeluga võimalikult isesei...",https://sonaveeb.ee/search/unif/dlall/TAI/assistive%20product
assistive technology,(no ET term),eki_TAI,health,"toode, mis aitab parandada inimese funktsioneerimisvõimet, kompenseerida funktsioonihäiret ja saavutada või säilitada igapäevaeluga võimalikult isesei...",https://sonaveeb.ee/search/unif/dlall/TAI/assistive%20technology
autonomy,(no ET term),eki_skt,psychology/therapy,"Võime ja võimalus oma asju ise korraldada. Vrd iseseisvus, sõltumatus, omavalitsus",https://sonaveeb.ee/search/unif/dlall/skt/autonomy
autopsy diagnosis,lahangudiagnoos,eki_TAI,health,"kasvaja, mis on diagnoositud esimest korda lahangul",https://sonaveeb.ee/search/unif/dlall/TAI/autopsy%20diagnosis
average annual population,(no ET term),eki_TAI,health,aasta alguse ja aasta lõpu rahvaarvude aritmeetiline keskmine,https://sonaveeb.ee/search/unif/dlall/TAI/average%20annual%20population
avoidable death,välditav surmajuht,eki_TAI,health,"surmajuht, mida oleks saanud vältida õigeaegse ja efektiivse sekkumisega",https://sonaveeb.ee/search/unif/dlall/TAI/avoidable%20death
avoidance,vältimine,eki_skt,psychology/therapy,"skeemiga toime tulemise viis, mis sisaldab skeemi aktivatsiooni vallandavate stiimulite nagu näiteks inimeste, olukordade, mõtete jne vältimist, a bro...",https://sonaveeb.ee/search/unif/dlall/skt/avoidance
avoidant protector mode,vältiva kaitsja olek,eki_skt,psychology/therapy,"üks düsfunktsionaalsetest kaitseolekutest, mida iseloomustab olukordade (inimeste, kohtade, vestluste, tegevuste) vältimine, milles varased mittekohas...",https://sonaveeb.ee/search/unif/dlall/skt/avoidant%20protector%20mode
basic health and safety,baasiline heaolu ja turvalisus,eki_skt,psychology/therapy,"realistik turvatunne ja usaldus, et ka tulevik on turvaline ja hea, realistic sense of safety and confidence in future security and wellbeing",https://sonaveeb.ee/search/unif/dlall/skt/basic%20health%20and%20safety
bed day,(no ET term),eki_TAI,health,"statsionaarse ravi korral ööpäev, mille jooksul hospitaliseeritud patsient sai ravi, seejuures loetakse hospitaliseerimise ja haiglast lahkumise päev ...",https://sonaveeb.ee/search/unif/dlall/TAI/bed%20day
behavior,käitumine,eki_dkt,psychology/therapy,"viis või laad, kuidas keegi või miski reageerib, teotseb või töötab",https://sonaveeb.ee/search/unif/dlall/dkt/behavior
behaviour of tumour,kasvaja loomus,eki_TAI,health,kasvaja käitumine kehas,https://sonaveeb.ee/search/unif/dlall/TAI/behaviour%20of%20tumour
being mind,olev meel,eki_dkt,psychology/therapy,"Meeleseisund DKT-s, kus inimene lihtsalt on ja kogeb hetke ilma püüdluseta seda muuta või hinnanguid anda.",https://sonaveeb.ee/search/unif/dlall/dkt/being%20mind
biological marker,(no ET term),eki_TAI,health,"Kunagisele elutegevusele viitav orgaaniline ühend (nt kivimis, settes, mineraalis, kivistises). Nt mitmesuguste isotoopide (nt süsiniku, väävli, lämma...",https://sonaveeb.ee/search/unif/dlall/TAI/biological%20marker
biopsychosocial approach,biopsühhosotsiaalne käsitlus,eki_TAI,health,"inimese toimimise ja toimetuleku mõistmiseks kasutatav mudel, milles võetakse korraga arvesse bioloogilisi (füüsilise tervisega seotud), psühholoogili...",https://sonaveeb.ee/search/unif/dlall/TAI/biopsychosocial%20approach
biopsychosocial model,(no ET term),eki_TAI,health,"inimese toimimise ja toimetuleku mõistmiseks kasutatav mudel, milles võetakse korraga arvesse bioloogilisi (füüsilise tervisega seotud), psühholoogili...",https://sonaveeb.ee/search/unif/dlall/TAI/biopsychosocial%20model
biosocial theory,biosotsiaalne teooria,eki_dkt,psychology/therapy,"dialektilise käitumisteraapia keskne lähtekoht, mille järgi on piirialase isiksushäire tuum emotsiooni düsregulatsioon, mis tuleneb bioloogilistest er...",https://sonaveeb.ee/search/unif/dlall/dkt/biosocial%20theory
birth card,(no ET term),eki_TAI,health,andmekaart iga elusalt või surnult sündinud lapse kohta,https://sonaveeb.ee/search/unif/dlall/TAI/birth%20card
birth card for preterm child,enneaegse lapse kaart,eki_TAI,health,andmekaart enne 34. täisrasedusnädalat elusalt sündinud enneaegse lapse kohta. Andmekaarti täidab tervishoiutöötaja ja selle andmed talletatakse rased...,https://sonaveeb.ee/search/unif/dlall/TAI/birth%20card%20for%20preterm%20child
BMI,(no ET term),eki_TAI,health,"ühikuta suurus, mis näitab inimese kehamassi ja pikkuse suhet (kehakaal (kilogrammides) jagatud pikkuse (meetrites) ruuduga)",https://sonaveeb.ee/search/unif/dlall/TAI/BMI
body mass,(no ET term),eki_TAI,health,keha raskus mõõdetuna kilogrammides või grammides,https://sonaveeb.ee/search/unif/dlall/TAI/body%20mass
body mass index,kehamassiindeks,eki_TAI,health,"inimese kaalu ja pikkuse suhet väljendav näitaja, mida kasutatakse rasvumise määramiseks ja südame-veresoonkonna haiguste riski määramiseks",https://sonaveeb.ee/search/unif/dlall/TAI/body%20mass%20index
"body scan meditation, step by step",keha skaneerimise meditatsioon Samm Sammult,eki_dkt,psychology/therapy,"dialektilise käitumisteraapia stressitaluvuse oskuste hulka kuuluv ca 30 min kestev harjutus, mis seisneb tähelepanu pööramises kehaaistingutele käeso...",https://sonaveeb.ee/search/unif/dlall/dkt/body%20scan%20meditation%2C%20step%20by%20step
body structures,organismi struktuurid,eki_TAI,health,"keha struktuursed ja anatoomilised osad, nagu elundid, jäsemed ja nende osad, mis on klassifitseeritud oranismi elundsüsteemi järgi",https://sonaveeb.ee/search/unif/dlall/TAI/body%20structures
BPSM,(no ET term),eki_TAI,health,"inimese toimimise ja toimetuleku mõistmiseks kasutatav mudel, milles võetakse korraga arvesse bioloogilisi (füüsilise tervisega seotud), psühholoogili...",https://sonaveeb.ee/search/unif/dlall/TAI/BPSM
breast cancer screening,rinnavähi sõeluuring,eki_TAI,health,"rinnavähi sõeluuringu sihtrühma kuuluvate haigustunnusteta inimeste uurimine eesmärgiga teha kindlaks need inimesed, kellel võivad esineda rinnavähile...",https://sonaveeb.ee/search/unif/dlall/TAI/breast%20cancer%20screening
briefing,(no ET term),eki_kriis,crisis,"the act of giving in advance specific instructions or information, tegevus, mille eesmärk on edastada teavet ja/või anda juhiseid",https://sonaveeb.ee/search/unif/dlall/kriis/briefing
building relationships,suhete loomine,eki_dkt,psychology/therapy,suhtetõhususe oskuste üks eesmärk: sõprade leidmine ja neile meeldivaks muutumine ning teadvelolek teistest,https://sonaveeb.ee/search/unif/dlall/dkt/building%20relationships
bulimia,(no ET term),eki_TAI,health,"psüühikahäire, millega kaasnevad taltsutamatud liigsöömishood ja ülemäärane muretsemine oma kehakaalu pärast ning vajadus seda reguleerida nt. meelega...",https://sonaveeb.ee/search/unif/dlall/TAI/bulimia
bully and attack mode,ründaja olek,eki_skt,psychology/therapy,"üks düsfunktsionaalsetest kaitseolekutest, milles olles kasutab inimene ähvardusi või agressiivsust, et kinnitada oma üleolekut, saada midagi mida ta ...",https://sonaveeb.ee/search/unif/dlall/skt/bully%20and%20attack%20mode
burning bridges and building new ones,sildade põletamine ja uute ehitamine,eki_dkt,psychology/therapy,"dialektilise käitumisteraapia oskus, mis tähendab oma elust aktiivselt kõigi potentsiaalsete sõltuvuskäitumise vallandajate eemaldamist. Uute sildade ...",https://sonaveeb.ee/search/unif/dlall/dkt/burning%20bridges%20and%20building%20new%20ones
cancer case,vähijuht,eki_TAI,health,üldtermin vähiregistris registreeritava kasvaja kohta,https://sonaveeb.ee/search/unif/dlall/TAI/cancer%20case
cancer registry,(no ET term),eki_TAI,health,"riiklik andmekogu, kuhu kogutakse isikustatud andmeid vähijuhtude kohta Eestis. Vähiregistri kohta saab rohkem teavet Tervise Arengu Instituudi veebis...",https://sonaveeb.ee/search/unif/dlall/TAI/cancer%20registry
carcinoma in situ,in situ kasvaja,eki_TAI,health,"tekkekohaga piirdunud, ümbritsevasse koesse levimata kasvaja",https://sonaveeb.ee/search/unif/dlall/TAI/carcinoma%20in%20situ
care organization,raviorganisatsioon,eki_TAI,health,"tervishoiuteenuse osutaja, millel on organisatsiooni roll",https://sonaveeb.ee/search/unif/dlall/TAI/care%20organization
care plan,hooldusplaan,eki_TAI,health,"inimese eest hoolitsemiseks koostatud (üldhooldusteenuses kasutatav) plaan, mis sisaldab vajaduspõhiseid hooldustoiminguid ja -teenuseid",https://sonaveeb.ee/search/unif/dlall/TAI/care%20plan
care provider,teenuse osutaja,eki_TAI,health,"tervishoiuteenust pakkuv tervishoiutöötaja või tervishoiuasutus, tervishoiu osapool, kellele saab määrata üht või enamat ravivolitust",https://sonaveeb.ee/search/unif/dlall/TAI/care%20provider
care worker,(no ET term),eki_TAI,health,"hoolekande- ja tervishoiuspetsialist, kellel on teadmised ja oskused abivajaja professionaalseks hooldamiseks, juhendamiseks ja rehabilitatsiooniks",https://sonaveeb.ee/search/unif/dlall/TAI/care%20worker
caregiver,hooldaja,eki_TAI,health,"see, kes kedagi või midagi hooldab",https://sonaveeb.ee/search/unif/dlall/TAI/caregiver
carer,(no ET term),eki_TAI,health,haigete ja surijate hooldamisega tegeleva kristliku õeskonna liige,https://sonaveeb.ee/search/unif/dlall/TAI/carer
case,(no ET term),eki_TAI,health,puust vm materjalist täisnurkne mahuti asjade hoidmiseks ja transportimiseks,https://sonaveeb.ee/search/unif/dlall/TAI/case
case management,(no ET term),eki_dkt,psychology/therapy,"sotsiaaltöövorm, mille puhul tegeldakse inimese või perekonna olukorraga (juhtumiga) terviklikult ning mis hõlmab abivajaduse hindamist, sobiva abi pl...",https://sonaveeb.ee/search/unif/dlall/dkt/case%20management
case manager,juhtumikorraldaja,eki_TAI,health,juhtumikorralduse eest vastutav spetsialist,https://sonaveeb.ee/search/unif/dlall/TAI/case%20manager
case plan,juhtumiplaan,eki_TAI,health,inimese abivajadust ja sellest tulenevate abimeetmete rakendamist kirjeldav dokument juhtumikorralduses,https://sonaveeb.ee/search/unif/dlall/TAI/case%20plan
cause of death,surmapõhjus,eki_TAI,health,"haigus, haiguslik seisund või vigastus, mis kas lõppes surmaga või aitas surma tekkele kaasa, ja õnnetuse või vägivalla asjaolud, mis tekitasid mis ta...",https://sonaveeb.ee/search/unif/dlall/TAI/cause%20of%20death
Causes of Death Register,(no ET term),eki_TAI,health,"riiklik andmekogu, mis kogub andmeid kõikide Eestis surnud ja väljaspool Eestit surnud Eesti elanike surmajuhtude kohta",https://sonaveeb.ee/search/unif/dlall/TAI/Causes%20of%20Death%20Register
cervical cancer,emakakaelavähk,eki_TAI,health,"emakakaelast lähtuv pahaloomuline kasvaja, mille tekitajaks on inimese papilloomviirus (ingl k HPV, Human Papilloma Virus), mis levib naha ja limaskes...",https://sonaveeb.ee/search/unif/dlall/TAI/cervical%20cancer
cervical cancer screening,emakakaelavähi sõeluuring,eki_TAI,health,"emakakaelavähi sõeluuringu sihtrühma kuuluvate haigustunnusteta inimeste uurimine eesmärgiga teha kindlaks need inimesed, kellel võivad esineda emakak...",https://sonaveeb.ee/search/unif/dlall/TAI/cervical%20cancer%20screening
chain analysis,ahelanalüüs,eki_dkt,psychology/therapy,"detailne, samm-sammuline analüüs sündmustest, mis viisid spetsiifilise probleemkäitumiseni",https://sonaveeb.ee/search/unif/dlall/dkt/chain%20analysis
chair dialogue,toolidialoog,eki_skt,psychology/therapy,"üks toolitehnika, milles kasutatakse toole erinevate olekute ja skeemide esindusena nende teadvustamise, nendevahelise suhtluse käivitamise ja muutmis...",https://sonaveeb.ee/search/unif/dlall/skt/chair%20dialogue
chair work,toolitehnika,eki_skt,psychology/therapy,"terapeutiline tehnika, millega soodustatakse erinevate olekute, mälestuste, rollide vm osade vahelist suhtlust, seda toolide abil operatsionaliseeride...",https://sonaveeb.ee/search/unif/dlall/skt/chair%20work
change,(no ET term),eki_dkt,psychology/therapy,väiksema väärtusega metallraha (hrl mitme rahamündi kohta),https://sonaveeb.ee/search/unif/dlall/dkt/change
cheerleading,(no ET term),eki_dkt,psychology/therapy,"spordivõistlustel publikut ja oma meeskonda ergutav tantsuline kava, mis sisaldab akrobaatikat, hõiskeid vms",https://sonaveeb.ee/search/unif/dlall/dkt/cheerleading
child mode,lapse olek,eki_skt,psychology/therapy,"üks kategooria skeemi olekutest, mis on sünnipärased ja universaalsed vastused emotsionaalsete vajaduste rahuldatusele ning neid olekuid iseloomustava...",https://sonaveeb.ee/search/unif/dlall/skt/child%20mode
clarifying goals,eesmärkide täpsustamine,eki_dkt,psychology/therapy,"suhtetõhususe oskus, kus teadvustatakse oma soovi või eesmärki, milleks võib olla tõhusus eesmärkides, tõhusus suhetes ja tõhusus eneseväärikuses",https://sonaveeb.ee/search/unif/dlall/dkt/clarifying%20goals
clean mind,puhas meel,eki_dkt,psychology/therapy,"üks kolmest meeleseisundist dialektilises käitumisteraapias, mis puudutab sõltuvuskäitumist. Puhta meele seisund kirjeldab kainust ja sõltuvuskäitumis...",https://sonaveeb.ee/search/unif/dlall/dkt/clean%20mind
clear mind,klaar meel,eki_dkt,psychology/therapy,"üks kolmest meeleseisundist dialektilises käitumisteraapias, mis puudutab sõltuvuskäitumist. Selge meel on süntees puhta ja sõltlase meele vahel. Selg...",https://sonaveeb.ee/search/unif/dlall/dkt/clear%20mind
client,klient,eki_TAI,health,"teatud asutuse, ettevõtja või isiku teenuseid kasutav isik",https://sonaveeb.ee/search/unif/dlall/TAI/client
closed group,kinnine grupp,eki_dkt,psychology/therapy,"grupiviisilise oskuste õppe formaat, mille puhul moodustatakse programmi alguses üks grupp, mis käib teatud aja koos, ning uusi liikmeid gruppi pärast...",https://sonaveeb.ee/search/unif/dlall/dkt/closed%20group
co-leader,kaasgrupijuht,eki_dkt,psychology/therapy,"üks kahest grupiviisilise oskuste õppe läbiviijatest, kelle ülesanne on maandada grupiliikmete ja teise grupijuhi vahelisi pingeid, pöörata tähelepanu...",https://sonaveeb.ee/search/unif/dlall/dkt/co-leader
cognitive modification,kognitiivne modifikatsioon,eki_dkt,psychology/therapy,"kognitiivse sisu ja stiilide hindamine, teadvustamine, sõnastamine ja muutmine",https://sonaveeb.ee/search/unif/dlall/dkt/cognitive%20modification
cognitive restructuring,kognitiivne restruktureerimine,eki_dkt,psychology/therapy,olemasolevate düsfunktsionaalsete mõtete/uskumuste sõnastamine ning nende asemel kasulikumate alternatiivide sõnastamine,https://sonaveeb.ee/search/unif/dlall/dkt/cognitive%20restructuring
colonoscopy,(no ET term),eki_TAI,health,"kooloni vaatlus (kolonoskoobi abil), jämesoole ja peensoole lõpuosa endoskoopiline uuring, jämesoole uurimine videokaameraga varustatud painduva toruk...",https://sonaveeb.ee/search/unif/dlall/TAI/colonoscopy
colorectal cancer,jämesoolevähk,eki_TAI,health,jämesoole epiteelist tekkinud adenokartsinoom või muu jämesoole pahaloomuline kasvaja. Vähi paiknemise järgi sooles eristatakse käärsoole pahaloomulis...,https://sonaveeb.ee/search/unif/dlall/TAI/colorectal%20cancer
colorectal cancer screening,jämesoolevähi sõeluuring,eki_TAI,health,"jämesoolevähi sõeluuringu sihtrühma kuuluvate haigustunnusteta inimeste uurimine eesmärgiga teha kindlaks need inimesed, kellel võivad esineda jämesoo...",https://sonaveeb.ee/search/unif/dlall/TAI/colorectal%20cancer%20screening
colposcopy,(no ET term),eki_TAI,health,"uuring, mille käigus uuritakse emakakaela mikroskoobi sarnase suurendava aparaadi ehk kolposkoobi abil, et avastada emakakaela vähki või vähieelset se...",https://sonaveeb.ee/search/unif/dlall/TAI/colposcopy
commitment,(no ET term),eki_dkt,psychology/therapy,"lubadus või kindel otsus midagi teha, a promise or firm decision to do something",https://sonaveeb.ee/search/unif/dlall/dkt/commitment
community,(no ET term),eki_TAI,health,"mingis piirkonnas elav, teatud sotsiaalsete suhete võrgustikuga seotud inimrühm",https://sonaveeb.ee/search/unif/dlall/TAI/community
community care,(no ET term),eki_TAI,health,"vananenud termin sotsiaalteenuse kohta, kus täisealise inimese iseseisev ja turvaline toimetulek tagatakse tema kodus ja oma kogukonnas (hrl vastandus...",https://sonaveeb.ee/search/unif/dlall/TAI/community%20care
community reinforcement,kogukondlik tasustamine,eki_dkt,psychology/therapy,"DKT oskus, mis viitab keskkonna ümberstruktureerimisele viisil, mis tasustaks sõltuvuse asemel karskust",https://sonaveeb.ee/search/unif/dlall/dkt/community%20reinforcement
competence,(no ET term),eki_skt,psychology/therapy,asjakohased teadmised ja oskused ning võimekus tegutseda tulemuslikult mingil alal,https://sonaveeb.ee/search/unif/dlall/skt/competence
compliant surrender mode,kuuleka alistuja olek,eki_skt,psychology/therapy,"üks düsfunktsionaalsetest kaitseolekutest, mida iseloomustab kuulekus ja järeleandlikkus teiste ootustele ja nõudmistele enamasti isiklike vajaduste a...",https://sonaveeb.ee/search/unif/dlall/skt/compliant%20surrender%20mode
congenital disease,kaasasündinud haigus,eki_TAI,health,"(pärilik või omandatud) haigus, omadus, tunnus, mis esineb lapsel juba sündimise hetkel; vt ka pärilik haigus",https://sonaveeb.ee/search/unif/dlall/TAI/congenital%20disease
